userId,postId,subjectivity,polarity,resultCluster
1,1,0,0,4
4,1,0.6,0.5,2
8,1,0.4,-0.0625,1
9,1,0.289583333,0.058333333,1
10,1,0.75,1,0
11,1,0.5,0.25,1
18,1,1,0.525,0
25,1,0.3625,0.347916667,1
39,1,0.454545455,0.136363636,1
40,1,0.3,0.2,1
41,1,1,-1,3
44,1,0.25,0.6,2
58,1,0.3,0,1
60,1,0.483333333,0.5,2
65,1,0.6,0.535,2
66,1,0.666666667,0.61875,2
68,1,0.583333333,0.083333333,1
69,1,0.716666667,0.166666667,2
70,1,0.3,1,0
72,1,0,0,4
73,1,0.333333333,-0.154166667,1
75,1,0.55,0.1,1
87,1,0.47,0.29625,2
89,1,0.5,0.170454545,1
93,1,0.605945166,0.257878788,2
94,1,0.1,0,4
95,1,0.55,-0.2,3
96,1,0.625,0.5,2
97,1,0.484848485,0.256818182,1
98,1,0.65,0.68359375,0
103,1,0.489316239,0.116773504,1
108,1,0,0,4
111,1,0.8,0.4,2
112,1,1,1,0
114,1,0,0,4
115,1,0,0,4
118,1,0.727272727,0.468181818,2
119,1,0.05,0.15,4
122,1,0,0,4
124,1,0.4,-0.4,3
125,1,0,0,4
127,1,0.6625,0.4,2
128,1,0.35,0.5,2
129,1,0.525,0.5,2
133,1,0.366666667,0.090909091,1
136,1,0,0,4
137,1,0,0,4
138,1,0,0,4
140,1,0.451515152,-0.221212121,3
142,1,0.479292929,0.178787879,1
144,1,0,0,4
155,1,0.422222222,0.344444444,2
156,1,0,0,4
157,1,0.394444444,-0.171527778,1
161,1,0,0,4
163,1,0.783928571,-0.211904762,3
165,1,0.44040404,0.256565657,1
166,1,0.355,0.19,1
168,1,0,0,4
171,1,0.6,-0.15,3
172,1,0.638888889,0.511111111,2
175,1,0.9,0.1,2
176,1,0,0,4
177,1,0.6,0.5,2
178,1,0,0,4
180,1,0,0,4
184,1,1,1,0
186,1,0.41875,-0.10625,1
190,1,0.616666667,0.525,2
194,1,0.454545455,0.136363636,1
195,1,0,0,4
198,1,0.4,0.4,2
200,1,0.875,0.9,0
202,1,0,0,4
205,1,0.533333333,0.5,2
207,1,0.267857143,0.142857143,1
211,1,0.333333333,0.48828125,2
219,1,0,0,4
221,1,1,1,0
222,1,0.388392857,0.053571429,1
225,1,1,-0.5,3
226,1,0,0,4
227,1,0,0,4
228,1,0,0,4
